Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,1.02452993995,1.13543458822,0.837401510582,0.623539680658,1.02008623902,0.366180006353,0.742128043064,0.782173494249,0.750199238343,1.01024147032,0.829191421076
1,2.00329035808,2.3805187967,1.57812140336,1.43227053821,2.12283499551,0.724188756868,1.5269890636,1.36702798528,1.53953264724,2.05747341876,1.67322479636
2,2.85133644447,3.58117396373,2.39204038875,2.09683234774,3.05557610859,1.07546110054,2.36727076403,2.08069919096,2.1728834478,3.03524166874,2.47085154253
3,3.76741234448,4.75127889635,3.04465958478,2.74099353872,4.03721185415,1.39983551593,3.18784363039,2.8090489347,2.88253914671,3.95412451622,3.25749479624
4,4.80227983601,5.75226756408,3.82751585596,3.35278761588,4.86059533346,1.7320049193,3.90501076909,3.52903863738,3.51525955831,5.15173607027,4.04284961597
5,5.73233296943,6.68321141453,4.67053233448,3.94943633539,5.79116796997,2.08360796673,4.54933662538,4.28619312099,4.2586408781,6.26741799103,4.8271877606
6,6.56153422004,7.69827104142,5.45739490997,4.5507554658,6.80751796316,2.42953031348,5.26047689198,5.08499234453,4.86556012238,7.34979943605,5.60658327088
7,7.5909607798,8.77355342255,6.35762808257,5.31580463917,7.55510389,2.82359143817,5.84318159977,5.83146051463,5.57297375212,8.334601118,6.39988592368
8,8.55476527074,9.87260840929,7.05749143163,6.08966324635,8.44613902263,3.17916647422,6.51364845299,6.58316772836,6.3732403862,9.36690987315,7.20368002956
9,9.61034079366,10.9219415026,7.9337361262,6.82070580594,9.44080799241,3.5665389149,7.38399920783,7.24504675143,6.99646417078,10.286678151,8.02062594168
10,10.5494659742,11.9963150951,8.65894904369,7.49927948965,10.3900217829,3.94540195537,8.04096456083,7.99137936377,7.66247436702,11.0654866334,8.77997382659
11,11.3342313474,13.1372070402,9.42685361701,8.22815208976,11.1470091657,4.30834176146,8.91683870279,8.67137778394,8.28097410317,12.1206115868,9.55715971982
12,12.3779169215,14.1778977992,10.2614551239,8.93182963497,12.1355342946,4.7273463889,9.73908364345,9.49283237113,9.11357514331,13.0963033452,10.4053774666
13,13.3931080461,15.2318257022,10.9561973217,9.64976855535,12.9497518104,5.10783520394,10.4457649303,10.2047104878,9.75927719395,14.149062637,11.1847301889
14,14.2843022652,16.178104857,11.8435396939,10.4103541715,13.8362012326,5.4333658885,11.2095300236,11.1030542161,10.4497379274,15.2382585452,11.9986448821
15,15.3392271807,17.1947689564,12.7758320762,11.1954434654,14.836780709,5.80235801492,11.9803273116,11.7515445877,11.1143475825,16.2035665168,12.8194196401
16,16.2788286397,18.0934813654,13.6843461001,11.8739805629,15.7796782295,6.20355709201,12.6265025363,12.5181971552,11.8530393921,17.3378208163,13.624943189
17,17.2043609231,19.178055053,14.5101580718,12.488844696,16.9367448666,6.58551503077,13.42236998,13.3509558359,12.5545452054,18.4829423171,14.471449198
18,18.1484172157,20.1104961294,15.2214719324,13.1667496846,17.8949863585,6.96577651883,14.1523678098,14.2442136477,13.2794242203,19.463578826,15.2647482343
19,18.9742773428,20.8960689485,15.9994618344,13.7136956735,18.8729649787,7.32433554726,14.8994762372,14.9586898629,13.8799577179,20.5013836459,16.0020311789
20,19.810780881,21.8751130846,16.7144026207,14.343045226,19.8920860575,7.68042642562,15.6172711394,15.653931945,14.6643306013,21.5650537541,16.7816441735
21,20.7926921641,22.9632895028,17.5308939608,15.1225036412,20.8856605182,8.04650163145,16.3865540661,16.4954314736,15.4153177318,22.6145484042,17.6253393094
22,21.8791231961,24.1351333826,18.2506576722,15.9719323104,21.862629902,8.37336156866,16.9741964324,17.362742894,16.13757723,23.6308753358,18.4578229924
