Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccReward
0,1.02452993995,1.13543458822,0.837401510582,0.417270276572,1.02008623902,0.279805345161,0.742128043064,0.731350425799,0.528154644519,1.01024147032,0.772640248321
1,1.78499813561,1.96157627767,1.47552422137,0.675499749405,1.8982729272,0.381773717513,1.5269890636,1.21672743508,1.20046223216,1.65972401343,1.37815477731
2,2.47948808266,3.16223144469,1.94924817565,1.1081299511,2.69293884161,0.631206137196,2.15922469811,1.73752902653,1.60652370966,2.59583984292,2.01223599101
3,3.39556398268,4.04872257378,2.49000168086,1.48631324387,2.97753730949,0.919120341348,2.59141164364,2.35222071255,2.31617940857,3.47317000464,2.60502409014
4,4.32817278502,4.74536654699,3.26042340022,1.86842327169,3.79639746243,1.19393205474,3.18041512372,3.06036406178,2.92665356687,4.67078155868,3.30309298321
5,5.25822591844,5.67631039743,3.99658795593,2.11413464412,4.29997130722,1.41720799634,3.82474098002,3.44843511827,3.50935026816,5.55868757841,3.91036521644
6,6.08742716905,6.69137002433,4.68472921457,2.58772672821,4.95724514699,1.65258106569,4.53588124661,3.83267039591,4.02148814582,6.46543879907,4.55165579363
7,6.76958909766,7.58215998436,5.37328737686,2.97903066795,5.70483107383,1.87766027948,5.11858595441,4.18693962662,4.72890177556,7.36810924758,5.16890950843
8,7.73339358859,8.3216888024,6.07315072592,3.29079872072,6.32772346221,2.10986346102,5.50790946161,4.92343470084,5.30037754804,8.31353560224,5.79018760736
9,8.78896911152,9.08248344038,6.94939542049,3.96082148113,7.07587819937,2.41347401338,6.37826021645,5.29896856227,5.92360133262,9.2333038801,6.51051556577
10,9.72809429207,9.66716866821,7.59726484247,4.40032880896,7.87080416522,2.79233705385,6.9929240161,6.0327446967,6.43321883886,10.0121123625,7.15269977449
11,10.5128596652,10.667413295,8.36516941579,4.81996579596,8.60956517817,3.02378416077,7.58347385571,6.55347825833,6.9584148268,11.0672373159,7.81613617675
12,11.4689140135,11.708104054,9.02024666661,5.34483716314,9.32440031523,3.31239167217,8.22535659862,7.16707455578,7.66391272075,11.9114648332,8.51467025929
13,12.4841051382,12.7620319569,9.71498886447,5.72829539843,10.1083276,3.65232749196,8.79491402802,7.63883182395,8.26338511955,12.9088153557,9.20560227771
14,13.3752993572,13.7083111117,10.2105668275,5.93552892554,10.7034412936,3.91435078872,9.55867912133,8.53717555223,8.84355721453,13.9837418609,9.87706520533
15,14.4302242727,14.5609935039,10.896534427,6.49933554619,11.6166851401,4.25622642516,10.1240417357,9.14661336228,9.45897225714,14.9490498325,10.5938676503
16,15.1062678322,15.3168804466,11.602913944,7.14247864077,12.3994802169,4.4587977708,10.5128200119,9.87647927626,10.1504727167,16.083304132,11.2649894988
17,15.7988400948,16.3493356936,12.1592905737,7.72156827575,13.0225887422,4.78492631916,11.2143456204,10.4959229614,10.8519785301,17.2284256328,11.9627222444
18,16.7428963874,16.9258668888,12.8570711547,8.10111814616,13.904488671,4.94529769385,11.6388995492,11.0826236044,11.3779361059,18.1513398131,12.5727538014
19,17.3846541558,17.5833693668,13.5401142107,8.45368050733,14.235531302,5.30385672229,12.3533795864,11.7502978437,11.8686422876,19.189144633,13.1662670616
20,18.2211576939,18.5624135028,14.230993428,8.78341047124,15.1542093,5.63691343037,13.0711744886,12.1944003236,12.653015171,20.141489563,13.8649177373
21,18.9101251623,19.267669099,15.0459873485,9.14948025192,15.7882592534,6.0029886362,13.478129598,12.6037584292,13.3324072759,21.163589096,14.474239415
22,19.9965561942,20.2560482062,15.7276057368,9.60459502089,16.5089056988,6.32984857342,13.9861036676,13.1890732823,13.9010796952,21.9390000441,15.143881612
23,20.9378712902,21.02736065,16.2979706471,9.95071695778,17.2039360956,6.54130412363,14.6970414701,13.48549938,14.5010567881,23.0952366314,15.7737994034
24,21.855203222,21.950644879,17.0545818631,10.3794741693,17.8722464646,6.72893691528,15.4528321745,14.1960712591,15.0601705113,24.052494928,16.4602656386
25,22.8137271941,22.7328676401,17.6869406823,10.8148864258,18.6165331142,6.99429392465,15.9282167202,14.7750487894,15.4111555193,24.8312794297,17.060494944
26,23.5873942965,23.2841125604,18.4171164528,11.0520524749,19.41942153,7.28073043359,16.3616344989,15.3588784298,16.1441739817,25.7357294478,17.6641244106
27,24.2792567876,23.9872820012,18.9764257553,11.4248140527,20.2617690535,7.46196343931,17.0525514906,16.0768412418,16.8026493798,26.9413775427,18.3264930745
28,25.1370283501,24.9217507204,19.7373730854,11.8609590932,21.2752160395,7.70634104814,17.4661239204,16.4646620783,17.5065327283,27.81302508,18.9889012144
29,25.8514695954,25.8296944878,20.5522260087,12.1996695884,22.3467824594,7.88102499141,18.0221032012,17.2011266622,18.1456868847,28.7731429434,19.6802926823
30,26.5191650728,26.7918165927,21.4590617748,12.6113322579,23.3141089352,8.08878422736,18.5868213124,17.9265664893,18.8335789829,29.8020193737,20.3933255019
31,27.3623864945,27.5269500304,22.0103447715,12.7969904334,23.8506281679,8.46512890579,19.1961042045,18.5807837706,19.2946672112,30.8448095332,20.9928793523
