Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,1.02452993995,1.1463052343,0.825455688393,0.820417200521,0.929709814505,0.432078820798,0.766401276734,0.703244755905,0.773991929379,0.987736526568,0.840987118705
1,2.04943971121,2.28173982251,1.61367820077,1.4939957792,1.87836693862,0.833365852193,1.48954648884,1.49493564095,1.43669506528,1.99984511423,1.65716086138
2,2.98066944649,3.39330330312,2.45107971135,2.29001204181,2.81648298008,1.24876288673,2.25994119975,2.18775133258,2.21268011626,2.99312365677,2.48338066749
3,4.05237429932,4.53308475923,3.39341008431,2.91355172246,3.9770937569,1.62903738183,3.11647024631,3.11610604781,3.03207203462,4.22999107532,3.39931914081
4,5.12454954075,5.7207258717,4.25931049921,3.66015634426,4.99717999592,2.05280153006,3.91264775379,3.92524948518,3.8061559899,5.31641442864,4.27751914394
5,6.03296665727,6.82046215789,5.11446784296,4.342557641,6.02861749584,2.41898153641,4.69748722096,4.70946917269,4.58651858635,6.41214588474,5.11636741961
6,7.00686650818,7.86078662438,5.95005916756,5.09045440341,6.97036638411,2.80701516906,5.43961526403,5.44612550052,5.39682131221,7.4140315905,5.9382141924
7,7.97347635153,8.86748234834,6.83693752263,5.81231177875,8.01018873039,3.18408766303,6.25889458413,6.22829899477,6.19915308178,8.51718630648,6.78880173618
8,8.84030175773,9.81264063032,7.68698538292,6.54420252412,8.99899980154,3.56157801389,7.0334372697,6.9529596703,6.94935232012,9.5631397139,7.59435970845
9,9.87427017916,10.860794845,8.52733174467,7.31065740016,9.95107110975,3.97495248835,7.78928256537,7.69399546868,7.66877819938,10.5733811842,8.42245151847
10,10.8530305973,11.8495676251,9.31658534775,8.05446509145,10.8822576615,4.36785595504,8.48535594623,8.410928656,8.3495407392,11.564047775,9.21336353945
11,11.8160082271,13.0946518336,10.1048898808,8.84183150906,11.8544436556,4.79723785799,9.24699557936,9.21372163986,9.11423272906,12.6017075339,10.0685720446
12,12.6164994784,14.0865370273,10.8456097736,9.54690963157,12.7261229085,5.15477328976,9.89693598007,9.90730462753,9.82128474967,13.5300762415,10.8132053708
13,13.5697555638,15.1808741113,11.5733022121,10.3556404891,13.6559510909,5.58428477316,10.5837507018,10.6304230292,10.4583661529,14.5184636747,11.6110811799
14,14.5233275429,16.191708572,12.4528724004,11.158055665,14.7586998473,5.9954814317,11.3866247851,11.4960905782,11.2455371033,15.6937460412,12.4902143967
15,15.421822082,17.1884791734,13.2232167016,11.8538241963,15.7334319645,6.35349018221,12.098562889,12.243753742,11.9561984486,16.7319449828,13.2804724362
16,16.4648652097,18.2981933811,14.0998779087,12.5154091123,16.7970039174,6.73054619081,12.8834239096,13.0555688659,12.7983513268,17.8672259018,14.1510465724
17,17.3588024517,19.2710392749,14.7799715097,13.2500323644,17.5195681504,7.11456762776,13.5013768855,13.640423357,13.4336788224,18.634047024,14.8503507468
18,18.3522736274,20.3580888528,15.6099286369,13.9419345682,18.5014678945,7.50396355554,14.2538792232,14.3612993252,14.2230122313,19.6768975582,15.6782745473
19,19.3312982311,21.5238532786,16.4280954254,14.7144864837,19.4853579283,7.91652226514,15.0391468566,15.1188765032,14.9974856164,20.7241295066,16.5279252095
20,20.1793443175,22.4615531599,17.144394295,15.3994294501,20.319765681,8.27443748987,15.6386379808,15.8008399713,15.6344553759,21.6155935685,17.246845129
21,21.2650840493,23.6622083269,18.0219647902,16.1646776164,21.3733225246,8.70494076188,16.4680133306,16.6543012867,16.4372527709,22.7377799187,18.1489545376
22,22.2357368941,24.7916210235,18.8358837756,16.9029552574,22.3687770394,9.10614007172,17.247044384,17.4422584973,17.1718699241,23.7975040558,18.9899790923
23,22.9909654682,25.6057874416,19.4991341068,17.5675170669,23.1114820858,9.44356502248,17.8464702542,18.0199361085,17.7075726453,24.5827796185,19.6375209818
24,23.8922012626,26.7333492216,20.2789816803,18.3758326877,24.0442231988,9.8564988263,18.5934763684,18.7784928899,18.4069155123,25.5754279943,20.4535399642
25,24.8015573037,27.7840956552,21.0595122564,19.0380580191,24.9670858866,10.20777117,19.2809341165,19.5054397441,19.0953054262,26.5587053163,21.2298464894
26,25.7602355748,28.7930721508,21.9568123554,19.8305841558,26.0099668623,10.5992634514,20.121215817,20.2795083081,19.9034053511,27.6629108951,22.0916974922
27,26.5678467415,29.769736292,22.6543007471,20.4342042665,26.9011220857,10.9314175516,20.8032548759,20.9931795138,20.5328702347,28.6125926333,22.8200524942
28,27.5019861273,30.8308033306,23.3924084364,21.2267360801,27.8335265335,11.3502381519,21.4591726707,21.7271553118,21.1662210352,29.6056289077,23.6093876585
29,28.4818929768,31.9252871871,24.2133723635,21.9943126153,28.7542160631,11.7533174659,22.2152596973,22.4696469771,21.9573540742,30.5833971576,24.4348056578
30,29.3979688768,32.8987962022,25.0691165605,22.6801824801,29.758011211,12.1096952189,23.0082314558,23.2096446043,22.7579622074,31.6484890406,25.2538097858
31,30.3253644825,34.0689011349,25.8967179357,23.4612570247,30.7194462635,12.5240426701,23.754639337,23.9666522501,23.4788437322,32.6657958126,26.0861660643
32,31.0611357885,35.0591710187,26.5493371318,24.1318860864,31.4341313189,12.8730115032,24.2900465522,24.5378008545,24.063108724,33.4281168704,26.7427745848
33,31.9081196992,35.8730465737,27.239790312,24.7760472773,32.2041460675,13.173121378,24.8817152694,25.1447673814,24.6968042836,34.2451601821,27.4142718424
34,32.7082976159,36.7407140248,28.0057536433,25.4420099609,33.1857818131,13.4928390095,25.5753668399,25.9158993515,25.3942590103,35.2930091047,28.1753930374
35,33.6055748374,37.7479099352,28.687345178,26.0978527715,34.046893194,13.8172134249,26.1930705064,26.6625146825,26.035086491,36.214919766,28.9108380787
36,34.5756586809,38.7914864847,29.5699773992,26.8313746929,35.1132550909,14.1881645876,27.0136433728,27.4832657741,26.8293001402,37.3483617938,29.7744488017
37,35.5209730575,39.774253068,30.3516244462,27.5479495055,36.0222533003,14.5675381968,27.6753669067,28.2116155178,27.5055820377,38.3183359968,30.5495492033
38,36.4711214973,40.8178655035,31.129066727,28.2758089677,37.0044570785,14.9483139323,28.3714207633,29.0325241236,28.2152377366,39.3684344126,31.3634250742
39,37.3472572978,41.7970649522,31.8560496645,28.9233312682,37.8673649684,15.2944152172,29.0434825391,29.707873691,28.8775580021,40.2873172601,32.1001714861
40,38.3821247893,42.9636687548,32.7147954963,29.7124066939,38.8748800084,15.7194306309,29.8474979508,30.4862860368,29.6670927874,41.358830971,32.972701412
41,39.3062220166,43.9646574225,33.526698351,30.5040227552,39.8279241291,16.1148066206,30.6212968322,31.2167121794,30.385079472,42.3689907708,33.783641055
42,40.2301565212,44.9309607778,34.3095546222,31.2242765138,40.7853154826,16.458601994,31.3270888186,31.988493589,31.1063695482,43.3886254022,34.5749443269
43,40.9697123737,45.9111296282,35.0331766624,31.8360705909,41.6026945894,16.7747027437,31.9717545736,32.5633031721,31.7804132959,44.2533860522,35.2696343682
44,41.8742238966,46.9410954966,35.7268097173,32.4722578824,42.4260780687,17.1431385126,32.6108721083,33.2791638886,32.4656242417,45.1353241268,36.007458794
45,42.673633563,47.7849620741,36.3789919353,33.1491973379,43.1482026957,17.475307916,33.1713866577,33.8601259587,33.0886546786,45.905135702,36.6635598519
46,43.5487086265,48.906947107,37.0870970075,33.8300591978,44.0907735621,17.8544770961,33.8885537964,34.6518619861,33.7439186888,46.9114783826,37.4513875451
47,44.4260455739,49.9557225938,37.8710285979,34.5466039398,45.0157625592,18.2353874375,34.5957834692,35.3718516888,34.4245562314,47.8946284249,38.2337370516
48,45.3654054659,50.9938824214,38.619988138,35.2204989925,45.9209300803,18.6090970883,35.2916240852,36.1166483314,35.057276643,48.8590363349,39.0054387581
49,46.4159578775,52.1657849357,39.5572475917,36.057459989,47.0486935916,19.0424032905,36.1848269328,36.9817139668,35.9069445764,50.0566478889,39.9417680641
50,47.3460110109,53.1313300436,40.3152886102,36.7297147111,47.9353674858,19.3994941848,36.8521477478,37.67680382,36.562627809,50.9998219343,40.6948607357
51,48.2855999264,54.0622738941,41.1619559462,37.3999265445,49.0085163232,19.7313977076,37.6109816644,38.505158514,37.3000927578,52.1414959923,41.520739927
