Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccReward
0,1.02452993995,1.1463052343,0.825455688393,0.820417200521,0.929709814505,0.432078820798,0.766401276734,0.703244755905,0.773991929379,0.987736526568,0.840987118705
1,1.68868752399,1.77489485182,1.4659191382,1.43857884192,1.59850865363,0.711898006902,1.34823849663,1.14315747375,1.39142900181,1.69187316554,1.42531851542
2,2.61991725927,2.73490057634,2.30332064879,2.20000720287,2.53662469509,1.09232802406,2.11863320753,1.8255634409,2.1674140528,2.68515170807,2.22838608157
3,2.92091245405,3.20040757405,2.51377874413,2.72230969295,2.7705764834,1.30646663653,2.38111490813,1.98980016033,2.39087592012,2.93067185469,2.51269144284
4,3.99308769548,4.38804868651,3.37967915903,3.34945355223,3.79066272243,1.60183765456,3.17729241561,2.41860460651,3.1649598754,4.01709520802,3.32807215758
5,4.80978046639,5.19324297083,4.14207675113,4.02276853548,4.50767483376,1.93116124421,3.74935087489,3.03251750785,3.80725412997,4.91723063555,4.01130579501
6,5.7836803173,6.23356743731,4.97766807573,4.65784435409,5.44942372202,2.26863895628,4.49147891796,3.62841689496,4.61755685584,5.91911634131,4.80273918728
7,6.358154052,6.90321420791,5.44805371765,5.26651076222,5.94998311656,2.54971241271,4.94999072625,3.97485158429,5.08774617793,6.4477885203,5.29360052778
8,7.17528463687,7.83729426379,6.00544246693,5.9984015076,6.51595112422,2.92720276356,5.46429057691,4.58742550663,5.61590082245,7.04864190188,5.91758355708
9,8.08303904409,8.78528099647,6.68075897755,6.69012851903,7.21518031595,3.14984616117,6.05727364032,4.82357458368,6.23578295421,7.7910643126,6.55119295051
10,8.84350723974,9.64462384532,7.28138474712,7.3698954272,7.86911243178,3.39305771797,6.62206679075,5.46929921155,6.80889597734,8.48437495929,7.17862183481
11,9.75899670064,10.7030850862,8.05733143821,8.13232055934,8.7531535946,3.71578449896,7.35458283293,6.01275634766,7.5735879672,9.32161510598,7.93832141318
12,10.512068988,11.4393972333,8.69545414899,8.72416033466,9.40200928512,4.00859384951,7.91035671283,6.48767810663,8.19022030424,10.0077773477,8.53777163109
13,11.110463821,12.3455617573,9.09419718574,9.36918640345,9.9126699407,4.16738569232,8.3576938438,7.14268525754,8.59721644839,10.8452362381,9.09422965884
14,12.0640358002,13.356396218,9.86447774462,10.1716015793,10.7908566289,4.57858235085,9.07912193611,7.83822173982,9.24831677305,11.7763621353,9.87679729061
15,12.9625303392,14.2890535735,10.5900373512,10.807636979,11.5866032305,4.790425285,9.72199103771,8.04134800559,9.91299033195,12.6218435561,10.532445969
16,13.6052039293,15.192527253,11.0781216647,11.469221895,12.5087974441,5.06450786694,10.4223261934,8.39844733856,10.6723961164,13.1178527165,11.1529402418
17,14.4991411713,16.1653731467,11.7582152656,12.203845147,13.2313616771,5.44852930389,11.0402791693,8.94056176692,11.307723612,13.8846738387,11.8479704099
18,15.3299469731,17.0945143476,12.4513477024,12.8957473509,14.0252977415,5.80632024013,11.6697389885,9.44187689234,11.9800311996,14.7299410359,12.5424762472
19,15.8777150786,17.8106601624,13.2695144909,13.4422436943,15.0091877753,6.11291070513,12.0245706458,9.84630935892,12.7545045847,15.2964578804,13.1444074377
