Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccReward
0,0.804247712368,0.759570295749,0.932574516603,0.468611142591,1.13819780432,0.590266358353,0.615568341801,0.886304194352,1.2257188331,0.834820669658,0.82558798689
1,1.67971912692,1.58284546064,1.63865565057,1.06257978382,1.92575542369,1.30684993926,1.26133313924,1.38674993657,2.25623416892,1.69790402528,1.57986266549
2,2.47727584837,2.15628405666,2.4367449284,1.82030166963,3.04732937597,2.08079904466,1.80145027963,2.08730504478,3.19836140725,2.57430836761,2.3680160023
3,3.25211398855,3.02577311097,3.2449908674,2.6712361477,4.10883737053,2.52393038772,2.37675279746,2.55980327794,4.15282027273,3.29322158969,3.12094798107
4,3.96804504535,3.91608800898,3.95911106766,3.32093656828,4.74742694201,3.16570936598,3.01442939069,3.2283235622,4.91330468932,4.02513678113,3.82585114216
5,4.80511787601,4.67691684131,4.87631715307,4.07598244625,5.63187345139,3.6631703985,3.63763104689,3.98256313318,5.73015663529,4.94173002884,4.60214590107
6,5.67577658026,5.65851210234,5.4063682975,4.63699259916,6.33721468689,4.36314050578,3.88307544744,4.59433559152,6.7071519554,6.03610514812,5.32986729144
7,6.46777805866,6.27656928252,6.32810532981,5.19616567729,6.95348910553,5.17350590375,4.68204941286,5.47038623415,7.70460060973,6.65025106494,6.09029006792
8,7.43255828382,6.97700102215,7.09470089493,5.67025206188,7.47762371133,5.78046986872,5.28660285451,6.48678475595,8.55506027961,7.37809050321,6.81391442361
9,8.44371755585,7.45186973357,7.89130211948,6.22198360589,8.42801773165,6.42652787851,5.8186440526,7.34565001431,9.29585931814,8.45655998413,7.57801319941
10,9.12120006837,8.39432552086,8.81509204048,7.0990890907,9.08421395756,7.22928060761,6.41613218672,8.13322208167,10.3167427197,9.19562647213,8.38049247458
11,10.1707901121,9.01040520002,9.57417135298,7.64119822647,9.80546325818,7.87347911482,7.04661244193,9.14051575335,11.3680584425,9.7635499824,9.13942438847
12,11.0310923966,9.67511446423,10.4220747567,8.31629537881,10.7282563015,8.76149733927,7.64392090085,10.0730162454,12.3468983606,10.9384001767,9.99365663207
13,11.6692525452,10.6282438752,11.2297132686,8.93633684272,11.4244051403,9.37551699147,8.17320290794,11.0157317459,13.1678498338,12.1554527766,10.7775705928
14,12.57736617,11.3852209016,12.077871895,9.65166268898,11.9590437098,10.0733948431,8.79427072565,11.7749735339,14.127876209,12.936871776,11.5358552453
15,13.122214317,12.1342689617,12.872526638,10.446391119,12.3643899734,10.8249782688,9.44003552309,12.8549974076,15.1175936903,13.5163001142,12.2693696013
16,13.8622235581,12.867842578,13.8430831125,11.0797209465,13.0149218642,11.4187427804,10.1646663815,13.5270446895,16.238496775,14.2628678407,13.0279610526
17,14.7387501982,13.3272200091,14.6823579705,11.7322630586,13.4754032475,11.9941792529,10.8009091787,14.5494263112,16.8825193528,15.336102473,13.7519131053
18,15.6076864913,14.2415066495,15.3338591038,12.3219396113,14.2358908006,12.763237056,11.4073803694,15.3357397256,17.8566744409,16.3767539726,14.5480668221
