Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccReward
0,0.170966383881,0.122083832264,0.0652816186865,0.0831604267762,0.354430068261,-1.02598935312,0.866240477067,1.23641343565,0.12588050927,0.0773089570945,0.207577635583
1,0.343338910386,0.381954882921,0.173991714586,0.189133835449,1.02773285204,-2.02786358258,1.64460846457,2.02918319035,0.393292994222,0.541787936667,0.469716119861
2,0.480850918707,0.779159969871,0.25635890919,0.480120206108,1.56551497456,-0.348751675886,2.21209507485,2.73179921953,0.510199462877,0.865853801245,0.953320086104
3,0.611696423469,0.95990429429,0.36202881097,1.21112802532,1.94031134966,0.985642521717,2.29946783864,3.67121594124,0.593312034251,1.3502208548,1.39849280944
4,0.736980979084,1.18632945002,0.502984488524,1.74226924968,1.99111766214,2.20024862359,3.03657865464,3.5833281406,0.72851895188,1.59635359926,1.73047097994
5,0.818576169013,1.59640466515,0.590775405635,2.02096461492,2.48281667188,3.61859527933,3.64452626587,5.48464771652,0.899251045956,1.89377585511,2.30503336894
6,0.929869526958,1.75271324138,0.640676852406,2.63641661773,2.48168506629,4.1544799925,4.27221740968,7.38596729244,1.09041327829,1.92516502457,2.72696043022
7,1.1382848816,1.82344373526,0.705999060739,2.89473044851,2.81843598022,5.35248181261,4.72028999562,7.87720397651,1.19378391775,2.22146620179,3.07461200106
8,1.24415637717,2.05048089545,0.777171569877,3.4772987377,2.86445919029,6.47949667654,5.30920111914,9.53851139564,1.34982399288,2.38226699001,3.54728669447
9,1.35544973511,2.04054220333,0.888845517592,3.60721930007,3.10356344419,6.90842279349,5.5542707426,10.0849148625,1.45624815617,2.79402362619,3.77935003813
10,1.43909800932,2.22863370175,0.954454187433,3.98719260237,3.38169382419,8.10642461359,6.04510801166,11.8196879801,1.65648973116,3.08650879888,4.27052914604
11,1.48044791464,2.33719821232,1.02245401442,4.40752644097,3.68963018198,8.479520898,6.51740364117,12.4845600656,1.78839831719,3.42138938835,4.56285290747
12,1.65571316647,2.48597539125,1.12290982058,4.5846230115,4.14161172202,9.51688856421,7.0623885865,13.6319370466,2.01146311461,3.60609761463,4.98196080384
13,1.80299651502,2.57336622483,1.19909049115,5.00458672224,4.33465088483,10.6071123803,7.61033927281,14.9182612067,2.13822021956,3.73093759548,5.39195615129
14,1.97982926622,2.72109531618,1.28254121414,5.32552006808,4.82942813859,10.8724760351,8.30417805816,15.4640457635,2.2442290226,3.78235633192,5.68056992145
15,2.0663343667,2.88833557541,1.36648116724,5.92094754328,5.46073590413,11.4904229257,8.64836217631,16.6592040259,2.35864166277,3.91413703974,6.07736023872
16,2.20493214832,3.05415025238,1.42387746713,6.32541931983,5.94069285339,12.0548740281,9.0650812194,17.0700346089,2.53369031802,3.97735789174,6.36501101072
17,2.3282393706,3.16139646201,1.44668451756,6.75088657072,6.36431794132,12.3692212053,9.45173694284,18.1405927646,2.6608344493,4.13366258274,6.68075728069
18,2.49427368259,3.37513894376,1.53492062657,6.87516417348,6.53346085864,13.5881662888,9.85531585478,19.5441881197,2.75632787674,4.28646300573,7.08434194307
19,2.62725006511,3.53330799852,1.58254141058,7.21348679731,6.87884722375,14.5495722471,10.3619191612,20.1168954604,3.01740685348,4.28251095427,7.41637381718
20,2.76111964791,3.71407075339,1.63175611564,7.45251860858,7.11670227947,15.6540683627,10.8409664388,20.5209758672,3.14706154974,4.37625722183,7.72154968453
21,2.90223720806,3.83709634421,1.71655129598,7.6133551853,7.22590425163,17.2252112613,11.3986527557,20.5305141924,3.33463080598,4.50507195663,8.02892252572
22,2.98911236319,3.93636921732,1.82701553535,7.92057043667,7.64914749916,18.4423034502,12.0693108063,21.9046253711,3.44811195623,4.62308468058,8.48096513161
23,3.11377551314,4.20084796416,1.90170912162,8.32229276333,8.38674476516,19.424351004,12.7032610855,23.4119259656,3.58395681211,4.66462661643,8.9713491611
24,3.14261212271,4.39992047825,2.01739779165,8.66655037253,8.74103463937,20.5340706978,13.0960006898,24.5675286141,3.66929161161,4.72388391001,9.35582909278
25,3.26858644511,4.54983186208,2.08865169029,8.98721541945,9.18120073465,21.2601507405,13.6923615781,26.4718630002,3.80506419083,5.20825096356,9.85131766248
26,3.32429748468,4.84094778847,2.2213711804,9.33682424974,9.51947037307,22.0586668781,14.1931191484,27.2381420841,3.95006456039,5.37968370015,10.2062587448
27,3.35830088389,5.14725258332,2.27437736971,9.6979683581,9.9648568346,22.7883238922,14.6475192094,28.0570331211,4.10637856656,5.37541578323,10.5417426602
28,3.43404160332,5.43822833815,2.34859874731,9.99899516388,10.2232442864,23.9153387561,15.2461912282,29.3213162427,4.2462860911,5.40507956793,10.9577320025
29,3.55095006187,5.5540352705,2.40808003166,10.3963689987,10.4456435903,25.6614776837,15.6999472966,30.2389965593,4.49823338598,5.5651132124,11.4018846091
30,3.65788111828,5.65449084833,2.47151272181,10.742220823,10.849197859,26.3161438056,16.3706498397,30.2556627446,4.59622400863,6.02250412152,11.693648789
31,3.74511355011,5.82176962943,2.5612394636,11.0000950816,10.8872830988,27.8360139879,16.9426102239,30.4290978692,4.74979180037,6.28067935182,12.0253694057
